SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,9770.29,9824,9770,9824,9824,9847.29,41,400624.58,04-Jul-2025,16,IN0020200104
SGBN28VIII,GB,9830.14,9866,9768.05,9866,9866,9830.14,55,540440.99,04-Jul-2025,20,IN0020200286
SGBMAY29I,GB,9884,9884,9787,9837.7,9835.1,9841.9,454,4468022.73,04-Jul-2025,88,IN0020210053
SGBJUN29II,GB,9830,9869.9,9742.06,9849.93,9849,9832.59,90,885114.66,04-Jul-2025,28,IN0020210061
SGBJU29III,GB,9810,9850,9800,9850,9850,9806.93,234,2298325.29,04-Jul-2025,57,IN0020210087
SGBSEP29VI,GB,9999.9,9999.9,9781,9860,9860,9837.24,194,1906367.79,04-Jul-2025,46,IN0020210145
SGBNV29VII,GB,9880,9880,9805.05,9833.66,9835,9880,28,274991.55,04-Jul-2025,10,IN0020210178
SGBOCT25IV,GB,9760,9899.99,9760,9850,9850,9761,14,137449.97,04-Jul-2025,5,IN0020170067
SGBOCT25V,GB,9900,9900,9900,9900,9900,9899.99,10,99000.00,04-Jul-2025,1,IN0020170075
SGBDEC25,GB,9899,9999,9899,9999,9999,9899,2,19898.00,04-Jul-2025,2,IN0020170125
SGBNOV258,GB,9800,9800,9800,9800,9800,9800,1,9800.00,04-Jul-2025,1,IN0020170109
SGBDEC2513,GB,9825,9825,9825,9825,9825,9825,2,19650.00,04-Jul-2025,2,IN0020170158
SGBMAY26,GB,9893.8,9893.8,9893.8,9893.8,9893.8,9894.8,1,9893.80,04-Jul-2025,1,IN0020180033
SGBNOV26,GB,9949.99,9950,9769.01,9769.01,9769.01,9720,11,109268.97,04-Jul-2025,4,IN0020180314
SGBDEC26,GB,10175.81,10175.81,10175.81,10175.81,10175.81,9750,1,10175.81,04-Jul-2025,1,IN0020180389
SGBJAN26,GB,9988.99,9990,9988.99,9990,9990,9989.99,7,69927.99,04-Jul-2025,3,IN0020170166
SGBAUG27,GB,9849.99,9869.99,9810,9858.66,9860,9849.99,26,256264.86,04-Jul-2025,8,IN0020190107
SGBSEP27,GB,9899.99,9925,9800,9885,9885,9899.99,20,196949.96,04-Jul-2025,7,IN0020190115
SGBOCT27,GB,9900,9900,9800,9800,9800,9800,21,206800.00,04-Jul-2025,3,IN0020190370
SGBAPR28I,GB,9848.16,9848.16,9725,9825.94,9844.53,9848.16,367,3601004.89,04-Jul-2025,56,IN0020200062
SGBMAY28,GB,9820,9850,9780.01,9829,9829,9829,111,1089880.05,04-Jul-2025,32,IN0020200088
SGBJUL28IV,GB,9829,9848.99,9829,9833,9833,9828.16,151,1486434.98,04-Jul-2025,33,IN0020200146
SGBFEB28IX,GB,9760,9781,9760,9780,9780,9898.98,12,117323.00,04-Jul-2025,3,IN0020190545
SGBAUG28V,GB,9821,9874.99,9802,9849.94,9840,9839.88,1115,10974530.53,04-Jul-2025,149,IN0020200161
SGBSEP28VI,GB,9889,9889,9777,9825,9825,9838.73,86,843350.74,04-Jul-2025,12,IN0020200195
SGBOC28VII,GB,9801,9825,9801,9803.15,9819.5,9816.85,279,2735796.99,04-Jul-2025,22,IN0020200203
SGBMAR28X,GB,9839.99,9839.99,9800,9800,9800,9834,85,836114.42,04-Jul-2025,12,IN0020190552
SGBJUL29IV,GB,9869,9870,9818,9846,9846,9870,187,1839557.50,04-Jul-2025,45,IN0020210111
SGBJAN29IX,GB,9800,9846.85,9800,9815.69,9820,9884.56,500,4908348.25,04-Jul-2025,61,IN0020200377
SGBAUG29V,GB,9900,9960,9900,9949.85,9950,9862.11,41,407356.50,04-Jul-2025,9,IN0020210129
SGBD29VIII,GB,9840.33,9900,9827,9853.63,9850,9840.33,67,661072.33,04-Jul-2025,20,IN0020210228
SGBJAN29X,GB,9817.01,9866.09,9817.01,9848.17,9843,9874,188,1851977.40,04-Jul-2025,21,IN0020200385
SGBFEB29XI,GB,9849,9869,9830.01,9830.01,9830.01,9830,522,5142155.13,04-Jul-2025,18,IN0020200393
SGBMR29XII,GB,9845,9845,9815,9835.47,9836,9846.25,73,717389.23,04-Jul-2025,20,IN0020200427
SGBJUN30,GB,9998,9998,9861,9986.12,9989,9977.49,71,706729.05,04-Jul-2025,23,IN0020220045
SGBAUG30,GB,9900,10175,9850,10026.5,10030,10000,259,2587426.25,04-Jul-2025,56,IN0020220078
SGBDE30III,GB,9995,10199,9967,10024.37,10038.97,9986.07,291,2914678.54,04-Jul-2025,84,IN0020220110
SGBJAN30IX,GB,10050.08,10099.95,9902.02,9925.96,9920,10000.08,205,2040215.75,04-Jul-2025,35,IN0020210236
SGBMAR30X,GB,9831,10040,9831,9903.07,9902.22,9930.1,38,377285.36,04-Jul-2025,18,IN0020210319
SGBJUN31I,GB,10110.44,10160.99,10000,10072.7,10086,10110.44,535,5384129.08,04-Jul-2025,150,IN0020230069
SGBSEP31II,GB,10205,10225,10060,10083.92,10080.01,10225,1735,17548133.44,04-Jul-2025,346,IN0020230093
SGBDE31III,GB,10209.02,10211,10139.5,10189.07,10185,10209.02,1468,14953327.25,04-Jul-2025,219,IN0020230168
SGBMAR31IV,GB,10100,10188.99,10061.1,10091.76,10070.1,10086.02,100,1011499.96,04-Jul-2025,29,IN0020220169
SGBFEB32IV,GB,10895,10965,10875.01,10887.79,10890.5,10891.89,845,9216802.75,04-Jul-2025,209,IN0020230184
20MICRONS,EQ,224.15,231,219.88,228.62,227.5,225.5,175606,39349655.42,04-Jul-2025,3462,INE144J01027
21STCENMGM,EQ,61.1,61.1,61.1,61.1,61.1,59.91,994,60733.40,04-Jul-2025,18,INE253B01015
360ONE,EQ,1226.6,1253.9,1192.3,1245.4,1242,1226.6,1368232,1686500736.80,04-Jul-2025,62185,INE466L01038
GOLD360,EQ,96,96.15,95.8,96.15,96.15,96.2,1310,125808.85,04-Jul-2025,49,INF579M01BB5
SILVER360,EQ,107.6,107.6,106.8,107,107,107,1410,150781.12,04-Jul-2025,42,INF579M01BC3
3IINFOLTD,EQ,24.58,24.66,24.21,24.39,24.48,24.48,556531,13560973.15,04-Jul-2025,1742,INE748C01038
3MINDIA,EQ,28800,29445,28720,28945,28900,28720,8344,242895350.00,04-Jul-2025,4169,INE470A01017
3PLAND,EQ,51,52.4,50.4,50.74,50.75,50.59,5493,281382.14,04-Jul-2025,134,INE105C01023
5PAISA,EQ,417.5,420.7,409.8,413.6,416,417.25,35568,14812908.10,04-Jul-2025,2781,INE618L01018
63MOONS,EQ,1034,1048.3,1009.1,1019.6,1015,1024,260465,267607703.40,04-Jul-2025,11010,INE111B01023
