INSTRUMENT,SYMBOL,EXPIRY_DT,EXPIRY_DT_FINAL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,272.50,PE,6.55,7.85,6.15,6.80,6.80,70,606.21895,251100,-31000,04-JUL-2025
OPTSTK,ABCAPITAL,28-Aug-2025,2025-08-28,320.00,PE,0.00,0.00,0.00,64.20,46.85,0,0.00,0,0,04-JUL-2025
OPTSTK,ABCAPITAL,28-Aug-2025,2025-08-28,300.00,PE,0.00,0.00,0.00,59.55,31.40,0,0.00,0,0,04-JUL-2025
OPTSTK,ABCAPITAL,28-Aug-2025,2025-08-28,275.00,PE,0.00,0.00,0.00,44.10,16.15,0,0.00,0,0,04-JUL-2025
OPTSTK,ABCAPITAL,28-Aug-2025,2025-08-28,240.00,PE,1.70,1.70,1.70,1.70,4.00,1,7.4927,52700,0,04-JUL-2025
FUTSTK,ABCAPITAL,30-Sep-2025,2025-09-30,,,278.25,280.50,278.00,278.50,278.50,21,181.92505,108500,-12400,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,320.00,CE,0.50,0.75,0.50,0.65,0.65,144,1431.11345,1196600,21700,04-JUL-2025
OPTSTK,ABCAPITAL,30-Sep-2025,2025-09-30,320.00,CE,0.00,0.00,0.00,10.30,8.80,0,0.00,0,0,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,300.00,PE,24.20,25.95,24.10,25.95,27.95,3,30.20175,71300,3100,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,245.00,CE,32.25,33.55,30.70,30.70,33.25,13,111.65115,89900,-21700,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,227.50,CE,0.00,0.00,0.00,40.00,49.05,0,0.00,3100,0,04-JUL-2025
OPTSTK,ABCAPITAL,28-Aug-2025,2025-08-28,255.00,PE,0.00,0.00,0.00,37.85,7.90,0,0.00,0,0,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,282.50,PE,11.30,13.35,11.30,12.30,15.75,26,237.79635,89900,18600,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,252.50,PE,1.60,1.60,1.40,1.40,3.50,6,47.2316,46500,15500,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,230.00,PE,0.30,0.30,0.25,0.30,0.60,10,71.3899,871100,9300,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,215.00,PE,0.00,0.00,0.00,0.30,0.15,0,0.00,83700,0,04-JUL-2025
OPTSTK,ABCAPITAL,28-Aug-2025,2025-08-28,250.00,CE,0.00,0.00,0.00,9.55,33.75,0,0.00,0,0,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,295.00,CE,2.60,3.40,2.60,2.85,2.85,53,489.4993,616900,-3100,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,277.50,CE,7.35,9.50,7.25,8.25,8.25,172,1525.50225,654100,12400,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,295.00,PE,0.00,0.00,0.00,19.95,24.10,0,0.00,34100,0,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,225.00,PE,0.00,0.00,0.00,0.25,0.40,0,0.00,58900,0,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,300.00,CE,1.70,2.55,1.70,2.10,2.10,356,3335.3644,1109800,55800,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,287.50,CE,4.25,5.30,4.15,4.65,7.70,28,253.6854,127100,-12400,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,265.00,CE,15.80,16.80,14.45,15.50,15.50,19,165.2796,446400,-3100,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,250.00,CE,29.20,29.65,26.30,27.90,29.15,137,1174.0351,858700,-384400,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,310.00,PE,0.00,0.00,0.00,29.00,36.15,0,0.00,12400,0,04-JUL-2025
OPTSTK,ABCAPITAL,28-Aug-2025,2025-08-28,290.00,CE,0.00,0.00,0.00,8.55,12.40,0,0.00,9300,0,04-JUL-2025
OPTSTK,ABCAPITAL,30-Sep-2025,2025-09-30,290.00,CE,0.00,0.00,0.00,19.60,17.55,0,0.00,0,0,04-JUL-2025
OPTSTK,ABCAPITAL,31-Jul-2025,2025-07-31,305.00,PE,31.35,31.35,31.35,31.35,31.95,1,10.42685,3100,3100,04-JUL-2025
