Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,05-Feb-2025,06-Feb-2025,CE,22600.00,1133.00,1158.15,1086.65,1086.65,1086.65,1086.65,98.00,1744.19,83.09,29775.00,-750.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,21350.00,2349.25,2420.35,2349.15,2420.35,2420.35,2350.25,4.00,71.20,7.15,300.00,75.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,23250.00,496.00,515.35,417.70,436.60,418.70,436.60,4427.00,78794.81,1599.00,704250.00,-88800.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,21600.00,2140.00,2140.00,2125.00,2125.00,2125.00,2100.30,2.00,35.60,3.20,225.00,-150.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,24700.00,0.85,1.05,0.45,0.65,0.45,0.65,248564.00,4604783.34,135.24,2793825.00,296550.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,25000.00,0.60,0.75,0.35,0.50,0.40,0.50,326923.00,6129941.85,135.60,7220775.00,-103500.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,23850.00,45.50,53.50,23.35,28.30,24.25,28.30,2106045.00,37727656.35,55776.41,5250900.00,2857650.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,25200.00,0.50,0.70,0.30,0.45,0.35,0.45,68744.00,1299287.99,26.39,1476450.00,-356250.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,25350.00,0.45,0.65,0.25,0.45,0.35,0.45,14329.00,272435.47,5.36,478200.00,126525.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,25450.00,0.55,0.65,0.35,0.45,0.40,0.45,19789.00,377729.71,7.18,187275.00,26925.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,25600.00,0.50,0.65,0.30,0.50,0.30,0.50,35343.00,678597.61,12.01,463425.00,50700.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,25650.00,0.65,0.80,0.20,0.45,0.35,0.45,14752.00,283796.72,5.12,409125.00,88650.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,23150.00,598.00,617.65,513.25,536.90,513.25,536.90,613.00,10906.64,263.43,516525.00,-11625.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,21400.00,2402.35,2402.35,2353.40,2353.40,2353.40,2300.25,2.00,35.67,3.57,75.00,75.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,21550.00,-,-,-,1789.75,1789.75,2150.30,-,-,-,75.00,-,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,24800.00,0.65,0.90,0.50,0.60,0.50,0.60,167444.00,3114541.91,83.51,2533725.00,-551475.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,23400.00,347.00,372.35,267.10,290.85,271.35,290.85,52714.00,938252.20,13121.50,1231875.00,-342450.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,24350.00,1.80,2.10,0.75,1.10,0.95,1.10,386776.00,7063896.41,399.71,2091000.00,774525.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,21900.00,1830.00,1830.00,1830.00,1830.00,1830.00,1800.35,1.00,17.80,1.37,1125.00,-75.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,23800.00,60.00,72.70,31.70,37.85,32.50,37.85,4889870.00,87465321.43,181141.93,11794725.00,4560750.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,CE,24950.00,0.60,0.85,0.30,0.55,0.45,0.55,44598.00,834559.92,19.85,447900.00,41250.00,23696.30
