Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,05-Feb-2025,06-Feb-2025,PE,22050.00,1.00,1.05,0.35,0.60,0.40,0.60,27487.00,454581.53,15.27,362850.00,-85125.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,21100.00,0.60,0.65,0.25,0.35,0.40,0.35,396041.00,6267463.64,114.81,6696300.00,-3844800.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,21350.00,0.95,0.95,0.25,0.30,0.25,0.30,17271.00,276557.03,5.14,256725.00,34050.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,23250.00,9.00,9.00,3.60,5.05,4.95,5.05,678577.00,11835208.06,2521.63,3618675.00,396825.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,25350.00,1645.00,1645.00,1628.25,1629.75,1629.75,1649.00,11.00,222.62,13.49,525.00,225.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,23400.00,11.85,14.70,5.75,9.45,8.65,9.45,1815444.00,31872721.45,11679.25,6565350.00,-1263300.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,22400.00,1.35,1.45,0.70,0.85,0.80,0.85,184809.00,3104929.42,138.22,2651925.00,-1088550.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,25650.00,-,-,-,2021.55,2021.55,1948.95,-,-,-,750.00,-,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,25700.00,1962.85,1987.40,1962.85,1970.00,1970.00,1998.95,3.00,62.27,4.44,2100.00,-75.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,23650.00,55.00,63.50,26.30,53.90,63.00,53.90,2575370.00,45762106.17,81480.80,3722700.00,1050375.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,22600.00,1.70,1.70,0.90,1.05,1.00,1.05,313592.00,5315679.81,295.41,3217800.00,-1378125.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,25850.00,-,-,-,1552.70,-,2148.90,-,-,-,-,-,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,23750.00,102.35,133.00,66.60,115.50,132.90,115.50,3582103.00,64048019.15,241809.46,3595950.00,2241675.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,22750.00,1.95,2.10,1.05,1.25,1.05,1.25,184041.00,3140403.26,203.69,1158075.00,-450225.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,22950.00,3.50,3.50,1.60,1.95,1.95,1.95,271510.00,4673804.07,438.19,2026650.00,299325.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,23000.00,3.90,3.90,1.90,2.20,2.25,2.20,1360883.00,23477717.83,2486.08,12533700.00,125325.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,25300.00,1550.00,1588.00,1550.00,1588.00,1588.00,1599.00,2.00,40.30,2.35,525.00,-75.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,21950.00,0.95,1.00,0.35,0.55,0.35,0.55,14539.00,239355.69,7.40,131850.00,-185250.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,24250.00,510.85,591.30,491.50,572.15,591.30,572.15,839.00,15593.07,333.76,8550.00,-4275.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,24300.00,565.90,638.25,540.00,617.85,638.25,617.85,7453.00,139061.70,3230.78,276075.00,12375.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,23300.00,9.40,9.95,4.20,6.10,5.95,6.10,1125880.00,19679761.50,5008.50,7994550.00,458775.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,25500.00,1759.80,1818.70,1750.20,1818.70,1818.70,1818.70,154.00,3149.78,204.53,25725.00,-10950.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,24500.00,760.20,836.25,735.05,813.30,834.80,813.30,1595.00,30231.75,923.62,214650.00,-62850.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,25550.00,-,-,-,2230.00,2230.00,1849.00,-,-,-,75.00,-,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,25950.00,2226.00,2238.00,2226.00,2235.50,2235.50,2248.90,6.00,126.82,10.05,1500.00,-450.00,23696.30
NIFTY,05-Feb-2025,06-Feb-2025,PE,23850.00,138.00,214.95,128.00,194.30,214.95,194.30,560494.00,10092671.51,66835.08,968250.00,590100.00,23696.30
